title,genre,youtube_url
Jon Bon Jovi - Blaze Of Glory (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=MfmYCM4CS8o
Elton John - Tiny Dancer,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=yYcyacLRPNs
Deep Purple - Child In Time - Live (1970),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=OorZcOzNcgE
Foo Fighters - Learn To Fly (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=1VQ_3sBZEm0
"STAND BY ME. (Ultimate Mix, 2020) - John Lennon (official music video HD)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=YqB8Dm65X18
Billy Joel - We Didn't Start the Fire (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=eFTLKWw542g
Hurricane On Saturn - Rescue Light (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=n3frHy91870
Alice In Chains - Would? (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Nco_kh8xJDs
Alice In Chains - Man in the Box (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=TAqZb52sgpU
Scorpions - Still Loving You (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=7pOr3dBFAeY
Heart - All I Wanna Do Is Make Love To You,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=OAfxs0IDeMs
Billy Idol - Rebel Yell,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=VdphvuyaV_I
Led Zeppelin - Kashmir (Live from Celebration Day) [Official Video],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=PD-MdiUm1_Y
The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=nrIPxlFzDi0
Wish You Were Here,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=hjpF8ukSrvk
The Bangles - Eternal Flame (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=PSoOFn3wQV4
"Aerosmith - Dream On (Live At Capitol Center, Largo, MD / November 9, 1978)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=sZfZ8uWaOFI
Lynyrd Skynyrd - Simple Man - Live At The Florida Theatre / 2015 (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Mqfwbf3X8SA
AC/DC - Who Made Who (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=PiZHNw1MtzI
Eric Clapton - Wonderful Tonight [Official Live],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=UprwkbzUX6g
The Police - Roxanne (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=3T1c7GkzRQQ
In Ash,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=wM3RHSicy34
"The Beatles - Hello, Goodbye",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=rblYSKz_VnI
Weezer - Say It Ain't So (Version 3),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ENXvZ9YRjbo
R.E.M. - Everybody Hurts (Official HD Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=5rOiW_xY-kc
Kenny Loggins - Footloose (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ltrMfT4Qz5Y
Bon Jovi - Runaway (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=s86K-p089R8
Aerosmith - Angel (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=CBTOGVb_cQg
"Bryan Adams, Rod Stewart, Sting - All For Love (Non-Film Version)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ofA3URC1wyk
Elton John - Rocket Man (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=DtVBCG6ThDk
"""I Love Rock 'n' Roll"" - Joan Jett & the Blackhearts (Official Video)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=wMsazR6Tnf8
Pixies - Where Is My Mind,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=N3oCS85HvpY
Old Time Rock & Roll,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=W1LsRShUPtY
Talking Heads - Psycho Killer (Official Audio),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=eauZzwt8Ci8
Duran Duran - Ordinary World (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=FqIACCH20JU
Fear of the Dark (2015 Remaster),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=bePCRKGUwAY
Pollute the Mainstream,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=XZA-eFrSizc
Alannah Myles - Black Velvet,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=tT4d1LQy4es
Everlast - What It's Like (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=FMYz5SteBBY
Journey - Separate Ways (Worlds Apart) (Official HD Video - 1983),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=LatorN4P9aA
Sublime - Santeria (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=AEYN5w4T_aM
Aerosmith - Hole In My Soul,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=HaC0s-FP-r4
Metallica: Nothing Else Matters (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=tAGnKpE4NCI
